vendor_id,siren,vendor_name,iban,address,ape_code,creation_date,is_active
V00047,148951343,Lucas SAS,FR0358527722170430305486874,"64, chemin Maillard, 16918 Nguyen",4669A,1997-07-11,True
V00048,003791769,Bernier SAS,FR7565277584161692845115447,"85, chemin Bonneau, 55381 Saint Marguerite",4669A,2010-12-24,True
V00049,676320163,Marchal SCI,FR8220297021355690927557192,"44, rue Guyon, 23611 ChevallierBourg",4669A,2013-06-23,True
V00050,870831727,Becker SCI,FR2373947312172715518844225,"rue Gomez, 63126 Lenoir",8299Z,2004-11-15,True
V00051,895798687,Bigot SASU,FR0482911467866912517785289,"18, boulevard Brunet, 38268 Breton",4669A,2023-05-13,True
V00052,774348734,Perrot Paul SARL SCI,FR4914384249818299229959001,"743, rue de Mahe, 80658 Clerc",4321A,2024-10-19,True
V00053,434558122,Guillet SARL,FR8764710276773592555625881,"51, rue Guy Pereira, 07397 Chauvetnec",4669A,2004-05-08,True
V00054,231665876,Leroux Millet S.A.S. EURL,FR2753278774701687339500479,"701, chemin Petitjean, 46882 PoulainVille",6201Z,2020-07-21,True
V00055,669096705,Roux SAS,FR0683584168784991216558523,"1, rue Delannoy, 42923 Pauldan",4799B,2015-06-04,True
V00056,688937346,Seguin Buisson S.A. EURL,FR8795269495888794705516940,"193, avenue de Picard, 67744 Becker-sur-Gillet",4321A,2007-03-06,True
V00057,656272980,Bazin Berger SA SARL,FR4113075626368970283857865,"658, chemin de Bourdon, 61296 Lopes",4321A,2015-07-02,True
V00058,901627204,Jean SASU,FR5443757584419866524041574,"58, chemin de Dos Santos, 14730 Dupuis-sur-Berger",4321A,2006-02-22,True
V00059,375564641,Laroche S.A.S. SA,FR1830165712082677345401938,"12, avenue Julien Bouvet, 37997 Saint Théophile",4321A,2003-09-12,True
V00060,805310033,Daniel SARL SARL,FR8988728743152742054932966,"rue Julien Joly, 61431 Robert",6201Z,2011-06-24,True
V00061,232719374,Jacob SASU,FR1774549904530174268414593,"82, boulevard de Besson, 53818 Georges-sur-Mer",4799B,2004-01-12,True
V00062,991241904,Bazin Faivre S.A.S. SAS,FR6918785191088398225871397,"80, boulevard Legros, 58677 Sainte Margot",5510Z,2025-09-22,True
V00063,663193149,Ramos SCI,FR4364039106518017046226567,"9, chemin Lemaire, 22650 Evrard-les-Bains",6201Z,1996-10-04,True
V00064,058651850,Bernard Boulay SA SASU,FR7178686337524310690331190,"4, rue de Maréchal, 56339 CarpentierVille",4321A,2006-03-03,True
V00065,165726284,Gaudin Charpentier S.A. EURL,FR6595995342836440892687056,"36, avenue Julien Faivre, 68584 Jean",5510Z,2023-10-11,True
V00066,776945314,Neveu SASU,FR6070866882634351751830469,"boulevard Ramos, 85672 Voisin",4321A,2000-12-05,True
V00067,799650752,Le Roux Bailly SA SAS,FR6031739363854678544587717,"75, boulevard Louis, 94249 Sainte Françoise",4321A,2003-03-24,True
V00068,545494808,Collet SAS,FR2135369378547772522872808,"rue de Salmon, 01522 Lombard",4669A,2001-03-16,True
V00069,367837770,Mercier Neveu S.A. SARL,FR2338750997700886008484086,"boulevard Gérard, 30296 Laine-sur-Fleury",6201Z,1996-04-30,True
V00070,363495788,Da Costa SA,FR8561567933410166687002176,"9, rue Lecomte, 88680 DupuyVille",4799B,2023-01-25,True
V00071,855744431,Pottier SARL EURL,FR9890250392614293968562185,"rue Virginie Sanchez, 43719 Valentin-sur-Chauvin",8299Z,2014-06-30,True
V00072,518233749,Martinez SAS,FR9547735866296194311426265,"rue Le Gall, 56468 Henry",5510Z,2017-08-05,True
V00073,413435240,Fernandez Lemoine S.A.R.L. SASU,FR8488861015819956046618398,"32, chemin René Teixeira, 19164 Gay",8299Z,2011-04-17,True
V00074,240084271,De Oliveira SASU,FR8171543799371240659657569,"49, chemin Joseph Chauvin, 40398 Bruneau-sur-Mer",6201Z,2006-03-21,True
V00075,477752047,Mallet SASU,FR7165193982807374167243426,"boulevard Christiane Guillon, 51647 Jacquotnec",6201Z,2005-07-22,True
V00076,671902294,Alves et Fils SARL,FR0589113529096561014388899,"86, boulevard de Blot, 64254 Laurent",6201Z,2023-08-28,True
V00077,186999386,Duval SAS,FR1461125457387571775140105,"93, boulevard Leroux, 42673 Pinto-sur-Mer",4321A,2006-01-26,True
V00078,496499091,Lombard EURL,FR9026609379660334191825537,"68, avenue de Bourdon, 50701 Sainte Adriennedan",4669A,2002-04-18,True
V00079,341232812,Maillet Munoz SARL SCI,FR0591251341252866929662782,"32, avenue Laure Vincent, 45109 Dufour-sur-Mer",6201Z,2016-12-04,True
V00080,797403447,Guilbert EURL,FR7376767721903404384279788,"5, chemin de Allard, 97115 Morvan-sur-Mer",6201Z,2013-03-20,True
V00081,349361832,Henry SCI,FR7934074517133959629233095,"525, boulevard René Buisson, 86934 Saint Odettenec",4799B,2021-01-22,True
V00082,102499471,Baron et Fils SAS,FR0223253672946671168457759,"8, chemin de Andre, 68507 Gilbert",4321A,2000-05-02,True
V00083,464887719,Costa Royer SARL SCI,FR2945892975001701277063242,"chemin de Deschamps, 11480 Roux",6201Z,2024-03-15,True
V00084,594013990,Toussaint EURL,FR2536110371293870051627136,"2, chemin Théophile Dos Santos, 48892 Clerc",8299Z,2006-05-31,True
V00085,902787429,Muller Laporte S.A.S. SA,FR3892753269731121965652341,"599, rue de Delmas, 38310 Seguin-sur-Mer",4321A,1996-04-22,True
V00086,717565512,Collet SCI,FR8703761379180552696582710,"rue Augustin Lopez, 50618 Techer",4799B,2018-01-02,True
V00087,746807154,Briand EURL,FR2461889241418328569146303,"8, boulevard de Lefèvre, 39782 Mathieu",4799B,2019-11-24,True
V00088,680876038,Neveu S.A. SARL,FR5802758842524105648149177,"boulevard Jacques Tessier, 20361 Saint MichelVille",4799B,2019-11-20,True
V00089,770348247,Richard S.A. SASU,FR7875622086353654195180238,"8, chemin Victor Fernandez, 70567 Sainte Luc",8299Z,1997-08-01,True
V00090,109324808,Thibault EURL,FR0449375973832060385050641,"86, rue Mendès, 35195 Saint Camille",4321A,2022-09-17,True
V00091,317127484,Bonnin SARL,FR6871918261990623445655743,"29, rue Gaillard, 57577 Cordier",4321A,2008-09-10,True
V00092,737826398,Regnier SARL EURL,FR2937474112490352135680442,"98, rue Pinto, 14923 Rivière",8299Z,2022-03-25,True
V00093,146584044,Bonnet S.A. SAS,FR4336519941013721510702966,"avenue Jérôme Monnier, 27291 Guyot",5510Z,2000-06-19,True
V00094,727875588,Gérard SASU,FR9599934768701462638380657,"785, rue André Julien, 76324 Sainte Bertrand",4321A,1997-03-13,True
V00095,533963605,Laporte EURL,FR0993213348039652239559059,"97, rue Claudine Morel, 12157 Marion",8299Z,2008-03-07,True
V00096,662702895,Lefebvre Laine S.A.R.L. EURL,FR3759325250029218515691545,"67, boulevard Lemonnier, 78905 Hubert",6201Z,1996-01-16,True
V00097,187026217,Hoareau Le Gall et Fils EURL,FR7442209690295939172513552,"17, rue Paul Jacquot, 09458 Nicolas",4799B,2019-06-12,True
V00098,961586578,Rousseau S.A.R.L. SA,FR3662676586179327104054115,"91, chemin Valentin, 78594 Sainte Marcelle",6201Z,2010-12-06,True
V00099,134316117,Seguin Gay S.A. SASU,FR0315336884443106987205061,"273, rue Picard, 81398 Sainte CamilleBourg",4669A,1997-11-03,True
V00100,400504556,Chauvin SCI,FR0674186256527047743490211,"49, rue de Chevallier, 66528 Torresdan",4669A,2012-01-16,True
V00101,869222196,Ollivier Ribeiro SA SAS,FR7808989921722332061632945,"boulevard Anastasie Courtois, 41977 Dijoux",5510Z,2009-06-14,True
V00102,379237474,Richard SCI,FR8299861622999119148564679,"chemin Antoine, 19733 Bazin-sur-Lemonnier",8299Z,2022-10-12,True
V00103,748217594,Morel SARL,FR6653074505444713247546913,"97, rue Denise Leroux, 09418 Antoine-les-Bains",8299Z,2009-06-26,True
V00104,474367136,Giraud S.A. EURL,FR8430307053457861035797279,"24, rue Alice Girard, 20974 Valette-sur-Benoit",5510Z,2025-10-18,True
V00105,944064090,Jourdan Jean et Fils SA,FR3946800722903494466574374,"1, chemin de Guilbert, 82708 Carre-sur-Léger",5510Z,2003-01-20,True
V00106,743953394,Leduc SA SCI,FR2245444328309652074466609,"88, chemin de Guillou, 38965 Descamps",8299Z,2007-06-18,True
V00107,210470952,Cousin Pereira S.A.R.L. SCI,FR2248251353465549471709991,"916, avenue Bernard Fernandes, 18305 Lejeune",6201Z,2000-05-16,True
V00108,562328588,Meunier SA,FR8621752500743292712966667,"boulevard Bourgeois, 93482 Sainte Olivie",4799B,2006-10-13,True
V00109,474517123,Moreau Labbé SA SAS,FR7233542168942104478985625,"72, rue Hubert, 93234 Peron",8299Z,2017-05-05,True
V00110,685160481,Pruvost S.A.S. SCI,FR0715064890901001676184723,"91, boulevard Julie Bonnin, 18528 Saint RolandBourg",4321A,2001-10-08,True
V00111,496513709,Mahe S.A. SA,FR1234835642087375300119721,"5, rue de Pineau, 37370 GirardBourg",5510Z,2016-09-27,True
V00112,931746120,Fournier Charpentier SARL SA,FR2156110022557941552166746,"31, rue de Leroux, 14526 Guillet-sur-Colas",6201Z,2023-04-17,True
V00113,711382675,Arnaud SA,FR1865902771670145089935889,"67, avenue de Gérard, 71727 Saint Lucy",8299Z,2016-10-26,True
V00114,869261796,Bodin Lelièvre S.A.R.L. SCI,FR7421753540838663177971775,"2, avenue Auguste Pascal, 70100 Sainte Danielle-sur-Mer",4799B,2025-08-07,True
V00115,537735158,Leblanc SARL,FR5203758997571130554885102,"51, rue de Roche, 16972 Fabredan",8299Z,2008-05-19,True
V00116,064317139,Auger Maillot SA SA,FR4860917798270808697829221,"995, avenue Julie Jacquot, 97241 Chauvin",6201Z,2021-10-12,True
V00117,532931839,Cousin SARL,FR4322698485833394522885158,"568, rue Dorothée Gautier, 04490 Vincent",4669A,2011-06-05,True
V00118,529042284,Bourgeois SARL SAS,FR9324420438057198386384066,"18, chemin Renaud, 79989 Jeanboeuf",4669A,2021-07-17,True
V00119,020539502,Diallo Pages S.A. SARL,FR2272122816064842294057202,"5, boulevard Emmanuelle Pelletier, 10902 Laine",4799B,2006-01-10,True
V00120,268117758,Gonzalez Dijoux SA SARL,FR7582688615335554398780157,"193, chemin de Weber, 15495 Gimenez",5510Z,2022-10-09,True
V00121,783908470,Laurent SARL,FR1858877043581128801336138,"3, avenue Wagner, 42138 Saint Bernard-les-Bains",6201Z,2013-08-09,True
V00122,661771159,Pascal EURL,FR1993466766506180919015814,"5, avenue Anastasie Peltier, 04585 Joubert",4669A,1998-06-01,True
V00123,249985698,Dufour Letellier S.A.R.L. SARL,FR0684245088210099688143536,"53, rue Arnaud, 85918 Vincent-sur-Hamel",4799B,2023-02-16,True
V00124,896118367,Imbert EURL,FR9114141397552314913577594,"755, rue Bouvier, 31904 Mendès",4669A,2014-09-20,True
V00125,576615654,Baron EURL,FR2352577754781291428341108,"469, boulevard Bertin, 69652 Guibert-les-Bains",4799B,2024-08-08,True
V00126,711116152,Michaud SAS,FR7694278816580392827229927,"avenue Grondin, 09370 Rey",5510Z,2003-08-14,True
V00127,988516560,Laroche S.A. SARL,FR6656770051844989266591846,"65, avenue Josette Robert, 64242 Gaillard-sur-Mer",4799B,2013-08-22,True
V00128,451983273,Buisson et Fils SASU,FR2432225913651777392603029,"309, rue Poirier, 23629 JosephVille",6201Z,2005-07-28,True
V00129,851493689,Clément SA,FR2679772369292984257991366,"rue Barbe, 64800 GérardBourg",5510Z,2003-05-22,True
V00130,809402445,Ollivier Bonneau S.A.S. SCI,FR6188117298068650863765991,"47, chemin Joseph, 69518 Roche",4799B,1997-05-07,True
V00131,229612018,Lacombe et Fils SARL,FR0309818063565126944869594,"98, rue Alexandrie Vaillant, 71595 Le Gall",4669A,2022-11-17,True
V00132,675254599,Becker EURL,FR1462137213865890260127961,"25, rue de Ramos, 49510 Bègue-sur-Dijoux",6201Z,2020-01-09,True
V00133,229014767,Mendès SARL,FR4002770384309883920530214,"46, rue de Gallet, 90170 Sainte Moniqueboeuf",5510Z,2016-05-07,True
V00134,643815614,Baron EURL,FR2693769042681818451848947,"63, avenue Jacqueline Leroy, 61219 Mercier",8299Z,2003-09-20,True
V00135,978403690,Couturier SCI,FR8833565880434165182755394,"47, rue Aubry, 26334 Menard",6201Z,2022-11-08,True
V00136,432445107,Meyer SAS,FR2011179080759579472846392,"97, boulevard Perrot, 50981 Albert",8299Z,2022-07-10,True
V00137,226838851,Rocher S.A.S. EURL,FR8550036915594284347955276,"75, avenue Jules Masse, 17689 Roussel",4321A,2011-09-03,True
V00138,060715969,Huet SCI,FR8166322702672885744890612,"27, chemin Raymond Alves, 46673 Boucherboeuf",4321A,2014-11-30,True
V00139,641605297,Bouchet SA SCI,FR7593998245587716947225699,"rue Le Goff, 29421 Guibert",8299Z,2007-12-19,True
V00140,161369681,Lacombe SA,FR4596475987622023413261117,"boulevard Paulette Perez, 14368 Meyer-sur-Clément",4321A,2005-02-13,True
V00141,535218188,Ruiz SA,FR9334722820055778487282997,"845, rue de Blanc, 56415 Pasquier",4669A,2003-10-28,True
V00142,523124329,Meyer SA,FR2200825478077406493085368,"72, rue Rémy Chevalier, 54740 Blondel",4669A,2006-05-07,True
V00143,127799799,Jacquet SCI,FR8284631224179749735020802,"82, rue de Rey, 12254 Sainte Martin",4799B,2018-01-30,True
V00144,527177449,De Oliveira SCI,FR1475705120461872346013673,"91, rue de Reynaud, 49797 Breton",6201Z,2006-08-15,True
V00145,814770054,Lombard Petitjean SA SA,FR4488147435031365024916300,"225, rue Didier, 12802 Maillot-sur-Thierry",6201Z,2021-05-11,True
V00146,199867980,Lopez SARL SCI,FR9828127358573065240778487,"68, avenue Robert Joseph, 70264 Saint Catherine-la-Forêt",4321A,2017-12-13,True
V00147,359782071,Allard SASU,FR4570862095935186387829456,"boulevard Delmas, 09144 Colin",4799B,2008-07-05,True
V00148,182037788,Renaud SA SCI,FR5531096789940539103717058,"5, rue de Peron, 10954 Garnier",5510Z,2012-07-13,True
V00149,554665905,Paul Pereira SA SAS,FR0938633839288619576122868,"88, chemin Emmanuelle Germain, 47522 Pagesboeuf",6201Z,2020-09-10,True
V00150,186449251,Thibault Morvan S.A. SA,FR1984577600490824043350488,"avenue Hamon, 20241 Poulain",5510Z,2008-10-12,True
V00151,254629148,Rey Boucher SARL SCI,FR8996931572791940961055661,"106, boulevard Augustin Julien, 69678 Millet",4321A,1999-02-23,True
V00152,528168505,Brunet Girard et Fils SCI,FR3367998136462251790864168,"82, rue de Coulon, 50767 Pierre-sur-Guilbert",4799B,2020-11-28,True
V00153,357332214,Berger Guérin SARL SAS,FR0665911665535590425979270,"22, rue Berger, 79251 Garcia",6201Z,2022-06-13,True
V00154,880592962,Lemonnier SASU,FR0614770538338848792069804,"rue Sophie Grenier, 79377 Sainte Marcelle",4669A,2023-05-21,True
V00155,927065379,Mercier S.A.R.L. SAS,FR1845104636815798123878003,"36, chemin Pottier, 45463 Huet",4799B,2018-06-27,True
V00156,738347359,Bonnet SCI,FR0546084325621689363926495,"33, boulevard de Pottier, 25983 Ruiz",4321A,2017-04-24,True
V00157,468862392,Perret Pires S.A. EURL,FR0992518812520566474231220,"493, rue Pelletier, 11804 Lucasdan",4799B,2018-05-07,True
V00158,758181412,Gonzalez SARL,FR3767722330604633312797573,"7, chemin de Carlier, 78860 Valentin-sur-Regnier",4799B,2025-01-04,True
V00159,826137506,Dijoux SA EURL,FR6670388608680347644726490,"91, rue Merle, 74812 Dufournec",6201Z,2011-05-21,True
V00160,853615305,Breton EURL,FR4102793714521117518689268,"chemin Moreno, 84983 Goncalves",6201Z,2011-05-12,True
V00161,522047277,Colin Lecoq et Fils SCI,FR5564474212309407778097339,"27, boulevard de Robert, 31660 Legendre",5510Z,1997-10-06,True
V00162,104328986,Girard Gonzalez S.A. SARL,FR5850209945101622499982795,"chemin Alexandrie Gillet, 09876 DiasBourg",6201Z,1997-11-22,True
V00163,341036971,Georges SA,FR1814586833901981794695489,"997, avenue de Teixeira, 23724 Neveu",6201Z,2000-08-06,True
V00164,980893246,Leclercq EURL,FR9610713966055830344144885,"chemin de Leblanc, 50841 Chauvet-sur-Leroy",6201Z,1996-01-27,True
V00165,539621851,Leclercq Rémy SARL SASU,FR0977027278576084958803955,"60, boulevard Zoé Gaillard, 73720 LemoineBourg",5510Z,2018-11-25,True
V00166,888067065,Munoz SASU,FR6850461735743842150317807,"97, chemin Guy Lecoq, 13941 Labbé-les-Bains",4799B,2025-03-16,True
V00167,051531952,Ramos Da Silva S.A.R.L. SCI,FR4181040915701840943533448,"5, rue Paris, 15115 Vaillant-sur-Buisson",6201Z,2009-03-16,True
V00168,852772217,Leclerc S.A.S. SA,FR9185424932149587020701601,"89, chemin de Langlois, 42937 Delannoy",6201Z,2007-12-09,True
V00169,303054868,Faivre S.A.R.L. SA,FR3221717477332945625577017,"37, chemin Josette Bruneau, 17620 Sainte ThérèseBourg",4321A,2015-05-04,True
V00170,034505415,Berthelot SA,FR5814876963938276153966958,"8, boulevard Godard, 59433 Pereiradan",4321A,2018-02-12,True
V00171,765277584,Le Gall Lebon SA EURL,FR0519657013290227846997335,"66, boulevard Petit, 78622 Rodriguez-la-Forêt",6201Z,2016-05-16,True
V00172,616928451,Lemaître S.A.S. SCI,FR6208514036965666683272386,"34, rue Guérin, 82116 Mace",6201Z,1997-10-29,True
V00173,447962757,Descamps SA,FR0821267969278687653269097,"946, chemin de Fontaine, 05681 Fischerboeuf",6201Z,2010-11-17,True
V00174,596401658,Blin S.A.R.L. SCI,FR7012847818913718949058077,"66, chemin Jacques Da Silva, 88711 Petitjean",8299Z,2019-07-07,True
V00175,202970213,Bonnet SCI,FR5879290490471281442944401,"67, chemin Bonnin, 30596 Evrard",8299Z,2017-06-06,True
V00176,569092755,Le Goff SA SA,FR3492766372395041027674783,"57, boulevard Gay, 02395 Weberboeuf",4321A,2000-12-14,True
V00177,928565431,Pereira S.A.S. SARL,FR1856945441496739385258001,"9, avenue Marty, 28842 Deschamps",6201Z,2017-09-15,True
V00178,278681447,Fontaine Laurent S.A.S. SCI,FR5109391119269212447174654,"rue Alex Chevallier, 42161 Aubry",4669A,1999-02-23,True
V00179,473121727,Besnard Muller S.A.R.L. SASU,FR8896271286391741011947072,"avenue de Da Costa, 20816 Michaud",6201Z,2002-11-05,True
V00180,551884422,Buisson et Fils SCI,FR0377661830671985546015851,"92, avenue Peltier, 24406 Gautierboeuf",4799B,2022-04-02,True
V00181,313237058,Clément SASU,FR6173203093761847870050506,"378, boulevard de Rey, 10137 Camus",5510Z,2017-07-20,True
V00182,782911467,Georges S.A.S. SA,FR7432020417929111799313656,"boulevard de Morvan, 18429 Salmon",5510Z,1997-07-30,True
V00183,691251778,Allain S.A. EURL,FR2311426258273902196207100,"boulevard de Jacquet, 53810 Jacquot-les-Bains",4799B,2007-06-08,True
V00184,892268018,Meunier Riou SARL SAS,FR3076329092791456083318195,"14, rue Gérard, 87964 Mahe-les-Bains",4669A,2013-10-25,True
V00185,225358414,Leconte Bertrand SA SA,FR1454364597010822078113799,"45, chemin Dumas, 13342 Bourgeoisnec",4669A,2017-12-17,True
V00186,842498182,Legrand Georges S.A.S. SCI,FR1606239726527354352090421,"62, chemin Texier, 20908 Picard-sur-Verdier",5510Z,2012-07-02,True
V00187,229959001,Fernandez Bouchet S.A.S. SASU,FR3939774063356939290600780,"27, avenue Olivier Perez, 71871 Sainte Martin",6201Z,2012-08-30,True
V00188,943969078,Pelletier Collet S.A. SCI,FR3710742799077262570165804,"489, rue de Legendre, 42853 Sainte Bernard",4799B,2018-01-20,True
V00189,473647102,Jacob SARL SCI,FR8290552818325381793355486,"chemin Barre, 57597 LaineBourg",4321A,2011-11-08,True
V00190,773592555,Lacombe EURL,FR6784795137116241124127238,"38, chemin Astrid Hebert, 94760 Sainte Laurent",4321A,2014-02-12,True
V00191,588153714,Simon S.A. SAS,FR7785695579887749242437540,"37, rue de Mendès, 68392 Roger",4321A,2024-06-05,True
V00192,210469632,Renard Gomez SA SAS,FR6859274523805525782841067,"12, boulevard de Guillou, 42762 Reynaud",4799B,1997-06-02,True
V00193,532787747,Faivre SASU,FR2129751702814069375150939,"20, avenue de Labbé, 85189 Carlier-sur-Mer",6201Z,2015-07-17,True
V00194,687339500,Prévost SARL,FR4598056265650455478137674,"36, boulevard de Fernandez, 19312 Ollivier",4799B,2016-07-16,True
V00195,974801624,François EURL,FR9661064628792326487049478,"1, chemin Ribeiro, 81954 Denis-la-Forêt",8299Z,2016-02-12,True
V00196,650609835,Colin SA,FR2730147195979647158904290,"62, rue Maillard, 46529 Rousseau",5510Z,2012-10-02,True
V00197,168784991,Klein SA,FR2518321928554451895202845,"22, rue Gaudin, 28951 Vaillant",4669A,2014-01-14,True
V00198,655852398,Delattre S.A.R.L. SARL,FR8812075452798524013223423,"rue Denis Moreau, 97471 Dupont-sur-Mer",4321A,1998-08-14,True
V00199,000257872,David et Fils SASU,FR4990714014011939325012495,"993, rue de Perrin, 74881 Saint Michelle",5510Z,2013-06-28,True
V00200,259526949,Carre Picard S.A.S. SASU,FR3113875927125663836151718,"94, rue de Perez, 41605 Sainte Rolanddan",4799B,1996-03-01,True
