invoice_id,siren,vendor_name,iban,amount,currency,invoice_date,posting_date,po_number,user_id,cost_center,gl_account,is_fraud,fraud_type
INV00003384,182688615,Briand Traore SARL SASU,FR0346040142473107201137984,389.62,EUR,2024-02-05,2024-02-11,PO263122,U002,CC359,6061,False,none
INV00001305,666676008,Langlois S.A.R.L. SASU,FR7942585917793238223116491,848.13,EUR,2024-05-05,2024-05-08,PO242056,U014,CC881,6068,False,none
INV00002346,379237474,Richard SCI,FR8299861622999119148564679,925.44,EUR,2025-12-08,2025-12-11,,U007,CC600,6061,False,none
INV00001433,086353654,Rémy SAS,FR9096443098591679541072728,871.99,EUR,2025-04-09,2025-04-09,PO387552,U029,CC100,6132,False,none
INV00001788,522395590,Robert Allain S.A.S. EURL,FR8676572894134750988986456,2473.07,EUR,2025-03-10,2025-03-14,PO406045,U020,CC233,6132,False,none
INV00002191,232719374,Jacob SASU,FR1774549904530174268414593,1520.82,EUR,2024-01-22,2024-01-23,PO124661,U024,CC457,6228,False,none
INV00004137,200342442,Leblanc EURL,FR3552597107563353574859532,69751.57,EUR,2024-08-03,2024-08-06,PO166582,U000,CC633,6061,False,none
INV00003784,792524191,Blanchard SARL,FR0476502412095790737100943,825.82,EUR,2024-07-25,2024-07-29,PO592789,U008,CC949,6063,False,none
INV00000505,826137506,Dijoux SA EURL,FR6670388608680347644726490,683.25,EUR,2025-05-16,2025-05-18,PO423668,U019,CC451,6132,False,none
INV00001129,977236929,Moreau EURL,FR7191767993593744039464083,8451.91,EUR,2024-04-19,2024-04-23,PO480816,U020,CC208,6135,False,none
INV00004487,973103241,Maillet SCI,FR8752958066013824127049386,1703.75,EUR,2024-10-05,2024-10-11,PO709307,U006,CC694,6063,False,none
INV00005057,669849027,Martins S.A.R.L. SARL,FR9481187233351040961497315,4994.63,EUR,2024-06-15,2024-06-22,PO383542,U014,CC102,6132,True,under_threshold
INV00003915,792524191,Blanchard SARL,FR0476502412095790737100943,60.02,EUR,2024-01-17,2024-01-24,PO240777,U000,CC442,6135,False,none
INV00002464,142939685,Labbé SARL EURL,FR9575230837081647090063353,998.17,EUR,2025-03-04,2025-03-06,PO928027,U029,CC467,6068,False,none
INV00003358,020539502,Diallo Pages S.A. SARL,FR2272122816064842294057202,1681.7,EUR,2025-12-17,2025-12-19,PO488794,U014,CC795,6181,False,none
INV00003070,398225871,Da Silva SASU,FR8067899730806958146717957,347.46,EUR,2025-01-13,2025-01-19,PO318829,U004,CC590,6132,False,none
INV00000810,479851583,Ruiz SA SASU,FR5425376576927789431910090,43.58,EUR,2025-11-13,2025-11-16,,U000,CC547,6061,False,none
INV00001670,547812914,Poulain EURL,FR3972239898306503121980418,124.11,EUR,2025-06-17,2025-06-19,PO340897,U023,CC817,6063,False,none
INV00004994,567982507,Delahaye EURL,FR7667146283143598926256609,7582.87,EUR,2025-09-06,2025-09-11,PO199110,U004,CC703,6065,False,none
INV00000065,445187053,Potier EURL,FR9459234268344149782661287,5983.98,EUR,2024-05-25,2024-05-27,PO957915,U007,CC304,6135,False,none
INV00004407,477752047,Mallet SASU,FR7165193982807374167243426,1662.77,EUR,2025-01-01,2025-01-05,PO816601,U008,CC522,6135,False,none
INV00003407,892268018,Meunier Riou SARL SAS,FR3076329092791456083318195,1363.49,EUR,2024-08-02,2024-08-06,PO428059,U010,CC567,6181,False,none
INV00004561,953428364,Hamel Ollivier S.A.S. SASU,FR4618204339718956907056260,3660.93,EUR,2024-06-29,2024-07-06,PO627785,U027,CC638,6065,False,none
INV00000471,104332181,Laurent et Fils SCI,FR1533218196001338908386379,487.72,EUR,2025-03-18,2025-03-18,PO605608,U008,CC712,6132,False,none
INV00002080,931746120,Fournier Charpentier SARL SA,FR2156110022557941552166746,1470.43,EUR,2025-09-16,2025-09-17,,U023,CC906,6061,False,none
INV00002620,527177449,De Oliveira SCI,FR1475705120461872346013673,1536.74,EUR,2025-01-19,2025-01-24,,U018,CC433,6068,False,none
INV00000952,728326842,Chevallier Lenoir et Fils SARL,FR3381228217819236534606056,6180.17,EUR,2025-11-14,2025-11-20,PO695908,U024,CC631,6132,False,none
INV00001652,774348734,Perrot Paul SARL SCI,FR4914384249818299229959001,546.12,EUR,2024-05-29,2024-06-04,PO314915,U014,CC522,6063,False,none
INV00003557,880592962,Lemonnier SASU,FR0614770538338848792069804,134.31,EUR,2024-07-15,2024-07-19,PO145287,U018,CC410,6228,False,none
INV00000705,356588043,Marion SAS,FR9698795098221040164818804,540.11,EUR,2025-06-14,2025-06-19,PO597233,U024,CC306,6065,False,none
INV00004960,788191485,Royer S.A. SASU,FR9390018513279724572308481,222.95,EUR,2024-01-17,2024-01-18,PO198447,U020,CC267,6063,False,none
INV00003365,143866322,Cousin SA SAS,FR2584993231234266980690872,265.07,EUR,2025-05-03,2025-05-06,PO588354,U013,CC670,6228,False,none
INV00003527,977008860,Bigot SCI,FR5865754602734151488814311,911.75,EUR,2024-09-26,2024-10-02,PO822513,U026,CC167,6181,False,none
INV00000438,555439878,Chauvin et Fils SAS,FR8000767620901447340433700,277.97,EUR,2024-11-03,2024-11-08,PO893310,U020,CC227,6228,False,none
INV00003017,865890260,Royer et Fils SAS,FR3684148460191344389982780,247.61,EUR,2024-01-22,2024-01-22,PO557892,U009,CC220,6135,False,none
INV00002093,562328588,Meunier SA,FR8621752500743292712966667,1136.73,EUR,2025-03-29,2025-04-03,PO677347,U002,CC847,6135,False,none
INV00004675,182037788,Renaud SA SCI,FR5531096789940539103717058,1151.05,EUR,2024-06-26,2024-07-03,PO387366,U005,CC600,6135,False,none
INV00001844,341232812,Maillet Munoz SARL SCI,FR0591251341252866929662782,220.29,EUR,2025-07-19,2025-07-22,PO279508,U003,CC850,6181,False,none
INV00001173,223253672,Imbert SA,FR2304120092820667849843624,1081.66,EUR,2025-01-17,2025-01-19,PO301225,U024,CC505,6065,False,none
INV00004456,786103579,Delattre SARL SA,FR1881980770460568761124912,74.65,EUR,2024-08-01,2024-08-02,PO313741,U002,CC228,6132,False,none
INV00000240,800030756,Marchal SCI,FR8005458971480263257039653,3998.54,EUR,2025-12-09,2025-12-10,PO911152,U006,CC241,6135,False,none
INV00002209,165726284,Gaudin Charpentier S.A. EURL,FR6595995342836440892687056,1414.34,EUR,2024-10-15,2024-10-22,PO329141,U018,CC785,6132,False,none
INV00001779,527858549,Roussel EURL,FR3635785294563718344049639,559.77,EUR,2024-10-13,2024-10-14,PO834120,U001,CC512,6228,False,none
INV00000023,184498926,Noël SA,FR3275957498855829849330674,110.84,EUR,2025-11-09,2025-11-09,PO328367,U003,CC341,6181,False,none
INV00002972,686879374,Ribeiro SARL,FR9738166496902824983922501,7260.44,EUR,2025-08-17,2025-08-24,,U013,CC562,6061,False,none
INV00000033,737530011,Martineau Paris SA SASU,FR5433337320430977688936289,1106.58,EUR,2025-06-05,2025-06-08,PO166418,U021,CC651,6181,False,none
INV00001983,799702462,Weber S.A.S. EURL,FR5915466024161394498830597,1881.44,EUR,2024-04-05,2024-04-05,PO163730,U025,CC967,6063,False,none
INV00004394,513338726,Lebreton SCI,FR1549649909133412328120679,971.43,EUR,2024-07-05,2024-07-07,PO361001,U025,CC189,6065,False,none
INV00002905,982708086,Guyon S.A.S. SCI,FR7246376604655866525483744,83.41,EUR,2024-02-29,2024-03-02,PO994164,U020,CC456,6061,False,none
INV00002894,495621372,Martins SA,FR1814244260781975437347642,787.5,EUR,2025-10-27,2025-10-29,PO337784,U007,CC279,6132,False,none
INV00002922,357332214,Berger Guérin SARL SAS,FR0665911665535590425979270,395.33,EUR,2025-10-30,2025-11-02,,U029,CC469,6132,False,none
INV00001413,330307053,Tessier SAS,FR8232735241039773973278195,234.19,EUR,2025-04-12,2025-04-14,PO171192,U004,CC255,6063,False,none
INV00001541,564139537,Parent S.A. SARL,FR0619399091699854353462475,171.61,EUR,2024-12-10,2024-12-13,PO365205,U015,CC508,6228,False,none
INV00004252,202970213,Bonnet SCI,FR5879290490471281442944401,5392.56,EUR,2025-01-08,2025-01-08,PO742878,U018,CC490,6228,False,none
INV00002227,971870728,Guillou Vasseur S.A.S. SAS,FR9159724665729341722329716,31.77,EUR,2024-03-10,2024-03-14,,U008,CC292,6061,False,none
INV00001675,375899757,Blanchard SARL,FR2718749603358268627036924,495.36,EUR,2024-05-18,2024-05-21,PO193724,U016,CC251,6228,False,none
INV00004011,215064890,Dubois SASU,FR5318481973741897215406417,261.08,EUR,2025-06-29,2025-07-02,PO583616,U001,CC129,6228,False,none
INV00000079,019380262,Blanc Pinto S.A. SCI,FR0220696942152910867713334,1762.29,EUR,2025-09-02,2025-09-05,PO547180,U009,CC719,6135,False,none
INV00004515,691373678,Pereira S.A.R.L. SA,FR9831942268653694551588863,715.42,EUR,2024-02-18,2024-02-18,PO954689,U015,CC975,6061,False,none
INV00000833,699013983,Robert Pierre et Fils SA,FR1614987283999219212493843,2868.18,EUR,2024-12-17,2024-12-22,PO688922,U002,CC494,6132,False,none
INV00000254,102499471,Baron et Fils SAS,FR0223253672946671168457759,1130.95,EUR,2025-04-16,2025-04-21,PO562305,U008,CC478,6065,False,none
INV00004668,814141397,Philippe EURL,FR3406791766512215001418842,827.3,EUR,2025-05-27,2025-05-27,PO940190,U001,CC536,6061,False,none
INV00004878,547812914,Poulain EURL,FR3972239898306503121980418,2638.46,EUR,2024-12-13,2024-12-19,PO501674,U013,CC833,6061,False,none
INV00001335,524310690,Benoit EURL,FR8615869886497677622827728,1013.25,EUR,2024-08-12,2024-08-15,PO742366,U008,CC453,6228,False,none
INV00000290,005162713,De Oliveira Grenier S.A.S. EURL,FR0629635339055044817766558,2270.73,EUR,2024-03-12,2024-03-17,,U004,CC966,6132,False,none
INV00000677,639208678,Dias S.A. SA,FR2098036577449160936595201,1436.1,EUR,2025-09-13,2025-09-13,PO497509,U005,CC482,6063,False,none
INV00000227,724004991,Lejeune Rodrigues SA EURL,FR6043973597107256366941180,1490.36,EUR,2024-11-01,2024-11-03,PO330533,U028,CC402,6065,False,none
INV00003960,218501631,Vasseur SA SCI,FR3822068155839386613315520,1071.36,EUR,2025-02-28,2025-03-02,PO173980,U022,CC266,6132,False,none
INV00000681,852772217,Leclerc S.A.S. SA,FR9185424932149587020701601,1714.1,EUR,2025-01-17,2025-01-21,PO105404,U011,CC839,6065,False,none
INV00000828,518023806,Vincent S.A.R.L. SASU,FR0506500425488214236914307,3208.32,EUR,2024-12-16,2024-12-19,PO492125,U028,CC747,6063,False,none
INV00001210,130756263,Lucas SASU,FR3367197889778280647969545,2047.21,EUR,2025-05-15,2025-05-20,PO977170,U002,CC544,6132,False,none
INV00001643,688937346,Seguin Buisson S.A. EURL,FR8795269495888794705516940,1456.88,EUR,2024-02-16,2024-02-20,PO647386,U008,CC806,6063,False,none
INV00001454,646519398,Chevallier Briand SARL SA,FR8552899316087524377294209,506.62,EUR,2025-07-13,2025-07-18,PO821211,U024,CC208,6068,False,none
INV00002787,562328588,Meunier SA,FR8621752500743292712966667,444.97,EUR,2024-10-15,2024-10-17,PO524539,U009,CC365,6061,False,none
INV00000734,717565512,Collet SCI,FR8703761379180552696582710,2971.14,EUR,2025-07-29,2025-08-02,PO745604,U010,CC221,6135,False,none
INV00002992,261891411,Lecoq SCI,FR4223885652715598354116597,2632.26,EUR,2024-03-13,2024-03-19,PO634853,U011,CC602,6181,False,none
INV00000642,999347687,Poirier SARL,FR4172322903102879508304405,1019.42,EUR,2025-05-26,2025-05-27,PO957939,U020,CC491,6132,False,none
INV00002921,312038750,Auger SAS,FR4474969033373634669254812,263.93,EUR,2024-08-14,2024-08-16,PO661977,U007,CC686,6061,False,none
INV00001630,199410137,Pages SCI,FR5820377107044964104967066,1033.21,EUR,2025-03-29,2025-03-30,PO300450,U023,CC359,6065,False,none
INV00001268,616928451,Lemaître S.A.S. SCI,FR6208514036965666683272386,3054.26,EUR,2025-08-30,2025-09-01,PO438438,U000,CC214,6068,False,none
INV00001978,199867980,Lopez SARL SCI,FR9828127358573065240778487,526.47,EUR,2024-07-31,2024-08-02,PO986581,U028,CC178,6063,False,none
INV00000485,688937346,Seguin Buisson S.A. EURL,FR8795269495888794705516940,317.8,EUR,2025-09-17,2025-09-21,PO618008,U005,CC665,6068,False,none
INV00001293,447962757,Descamps SA,FR0821267969278687653269097,2019.44,EUR,2025-02-15,2025-02-22,PO649314,U008,CC120,6061,False,none
INV00002224,142626551,Dijoux SARL,FR3427017130232129833816742,979.8,EUR,2025-05-21,2025-05-27,PO666516,U026,CC128,6061,False,none
INV00002749,477752047,Mallet SASU,FR7165193982807374167243426,496.59,EUR,2025-03-25,2025-03-25,PO729795,U028,CC581,6061,False,none
INV00005008,244935348,Berger SASU,FR5993183933529042284210205,3501.18,EUR,2024-07-12,2024-07-15,PO452560,U011,CC441,6228,True,duplicate_exact
INV00000926,025634216,Masson EURL,FR1097840369003432445107622,396.85,EUR,2024-01-24,2024-01-28,PO159399,U017,CC814,6063,False,none
INV00001103,656272980,Bazin Berger SA SARL,FR4113075626368970283857865,62.51,EUR,2024-01-24,2024-01-26,PO657540,U024,CC492,6063,False,none
INV00004201,814141397,Philippe EURL,FR3406791766512215001418842,3758.9,EUR,2025-08-07,2025-08-09,PO904514,U022,CC407,6065,False,none
INV00003752,599293784,Hervé SARL SCI,FR4773244913421388209088307,1036.62,EUR,2025-07-18,2025-07-25,PO356913,U020,CC522,6135,False,none
INV00002131,821486289,Normand Perrin S.A.R.L. SARL,FR8766630932998199605932971,1748.02,EUR,2024-09-26,2024-10-01,PO478003,U007,CC547,6135,False,none
INV00002521,432225913,Ruiz Rémy SA SASU,FR8391090326714949819421794,1198.65,EUR,2024-12-25,2024-12-27,PO322173,U022,CC866,6063,False,none
INV00005066,669849027,Martins S.A.R.L. SARL,FR9481187233351040961497315,990.68,EUR,2024-06-15,2024-06-22,PO383542,U014,CC102,6132,True,under_threshold
INV00000805,327648350,Vallée SCI,FR8736026064746872343098050,131.96,EUR,2024-07-20,2024-07-20,PO492592,U026,CC936,6135,False,none
INV00004412,511686854,Colin SA,FR1068171516025298670766046,1484.2,EUR,2025-04-26,2025-04-29,PO155506,U000,CC691,6132,False,none
INV00000501,447962757,Descamps SA,FR0821267969278687653269097,329.03,EUR,2025-12-04,2025-12-04,PO444136,U018,CC297,6063,False,none
INV00003862,103712938,Lévêque Humbert S.A.R.L. SARL,FR2082659608931992550272751,2037.09,EUR,2024-02-23,2024-02-23,PO728236,U015,CC267,6063,False,none
INV00000538,363745458,Charrier Blondel et Fils EURL,FR7985725459606339912971024,2537.06,EUR,2024-05-11,2024-05-11,PO790852,U026,CC463,6135,False,none
INV00000877,758181412,Gonzalez SARL,FR3767722330604633312797573,596.02,EUR,2025-03-11,2025-03-14,,U016,CC818,6135,False,none
INV00001620,982708086,Guyon S.A.S. SCI,FR7246376604655866525483744,513.72,EUR,2025-08-21,2025-08-25,PO789857,U009,CC202,6181,False,none
INV00002373,299468044,Vincent SCI,FR6185361530515220472779010,636.04,EUR,2024-09-19,2024-09-24,PO664617,U024,CC121,6228,False,none
INV00004771,103865719,Albert SA,FR9896094097052774025883586,112.84,EUR,2024-11-13,2024-11-17,PO532925,U029,CC653,6065,False,none
INV00001391,795687833,Fischer SAS,FR7559779452321941680061027,9990.43,EUR,2024-03-12,2024-03-18,PO267584,U015,CC781,6061,False,none
INV00003958,130756263,Lucas SASU,FR3367197889778280647969545,3166.3,EUR,2025-11-29,2025-12-05,PO459944,U012,CC723,6061,False,none
INV00000776,643815614,Baron EURL,FR2693769042681818451848947,24180.46,EUR,2025-06-01,2025-06-01,PO775143,U001,CC858,6068,False,none
INV00004765,927065379,Mercier S.A.R.L. SAS,FR1845104636815798123878003,1829.26,EUR,2024-02-18,2024-02-24,PO511180,U012,CC722,6132,False,none
INV00000931,434558122,Guillet SARL,FR8764710276773592555625881,730.11,EUR,2024-11-07,2024-11-07,PO336186,U020,CC458,6181,False,none
INV00003257,434558122,Guillet SARL,FR8764710276773592555625881,1717.17,EUR,2024-10-14,2024-10-16,PO106731,U016,CC480,6063,False,none
INV00003739,438057198,Jacob S.A. SCI,FR9751877941763425073305597,619.68,EUR,2024-01-18,2024-01-23,PO231381,U003,CC834,6063,False,none
INV00004963,349361832,Henry SCI,FR7934074517133959629233095,2137.17,EUR,2025-03-29,2025-04-04,PO442222,U018,CC627,6132,False,none
INV00000084,241724825,Adam SASU,FR3302166670808509608587495,16542.59,EUR,2025-05-09,2025-05-13,PO297062,U003,CC234,6065,False,none
INV00005095,000000000,Gautier SCI,FR7012847818913718949058077,2535.52,EUR,2025-01-22,2025-01-29,,U016,CC892,6065,True,shell_company
INV00000465,748217594,Morel SARL,FR6653074505444713247546913,4052.27,EUR,2024-10-07,2024-10-10,PO714496,U007,CC604,6181,False,none
INV00001149,482814893,Chauvet Colas SARL SARL,FR4380443699577738721489513,132.75,EUR,2024-10-21,2024-10-24,PO690913,U011,CC830,6132,False,none
INV00000746,133613861,Guillaume SARL,FR3069979907075504768169957,4540.5,EUR,2024-05-24,2024-05-26,PO251141,U026,CC973,6181,False,none
INV00000764,569961125,Sanchez SCI,FR3984449029502648016440373,4632.65,EUR,2025-04-09,2025-04-14,PO877468,U016,CC203,6065,False,none
INV00002890,244935348,Berger SASU,FR5993183933529042284210205,54.51,EUR,2025-10-28,2025-11-02,PO895221,U015,CC618,6068,False,none
INV00000106,474687234,Vincent EURL,FR3185977034824771093248086,1322.88,EUR,2025-10-25,2025-10-30,,U027,CC133,6132,False,none
INV00001736,809402445,Ollivier Bonneau S.A.S. SCI,FR6188117298068650863765991,528.1,EUR,2025-11-08,2025-11-14,PO700535,U025,CC484,6132,False,none
INV00001456,606530745,Cordier S.A. SASU,FR0462447951330531949796958,13187.58,EUR,2024-09-12,2024-09-13,PO175714,U022,CC413,6068,False,none
INV00003614,866618892,Payet SCI,FR0660880501716445561857906,4201.2,EUR,2024-04-16,2024-04-23,PO525827,U024,CC828,6132,False,none
INV00005128,737530011,Martineau Paris SA SASU,FR5433337320430977688936289,28632.16,EUR,2025-06-05,2025-06-08,PO166418,U021,CC651,6181,True,amount_outlier
INV00004795,648408588,Gimenez SARL,FR4629236161880819048235715,193.68,EUR,2024-12-07,2024-12-11,,U019,CC343,6061,False,none
INV00003589,317127484,Bonnin SARL,FR6871918261990623445655743,191.38,EUR,2025-10-25,2025-11-01,PO818038,U002,CC253,6061,False,none
INV00002440,996846081,Bailly Dias SARL EURL,FR2337976627051157942387367,133.31,EUR,2025-03-15,2025-03-16,PO614531,U009,CC734,6065,False,none
INV00003097,974801624,François EURL,FR9661064628792326487049478,855.81,EUR,2024-03-04,2024-03-04,PO771209,U021,CC359,6132,False,none
INV00000008,229014767,Mendès SARL,FR4002770384309883920530214,1228.91,EUR,2024-04-12,2024-04-14,PO591989,U017,CC108,6228,False,none
INV00001263,825128682,Diallo SARL,FR2041085628843188485200894,2424.43,EUR,2024-01-13,2024-01-13,PO833064,U020,CC369,6065,False,none
INV00000422,765991624,Cousin SAS,FR7310424624561851744600452,255.04,EUR,2025-10-29,2025-11-05,PO622600,U023,CC991,6063,False,none
INV00000787,278681447,Fontaine Laurent S.A.S. SCI,FR5109391119269212447174654,639.49,EUR,2025-03-17,2025-03-23,PO661519,U022,CC902,6065,False,none
INV00003471,933472122,Hamon SASU,FR8116517680866281372143308,1386.15,EUR,2024-06-04,2024-06-11,PO186178,U021,CC900,6063,False,none
INV00002295,187026217,Hoareau Le Gall et Fils EURL,FR7442209690295939172513552,1627.75,EUR,2024-06-11,2024-06-13,PO929530,U005,CC305,6068,False,none
INV00002865,551884422,Buisson et Fils SCI,FR0377661830671985546015851,325.74,EUR,2025-11-27,2025-11-28,PO731796,U001,CC671,6132,False,none
INV00004566,779082723,Perret SA,FR6634392529596111102867120,1970.28,EUR,2025-06-07,2025-06-07,PO425714,U017,CC537,6181,False,none
INV00001739,261891411,Lecoq SCI,FR4223885652715598354116597,181.0,EUR,2025-06-14,2025-06-18,PO930785,U027,CC299,6065,False,none
INV00003988,842579913,Durand SASU,FR6349079388413685283061537,2153.7,EUR,2024-09-30,2024-09-30,,U028,CC708,6063,False,none
INV00000157,555439878,Chauvin et Fils SAS,FR8000767620901447340433700,615.75,EUR,2025-03-04,2025-03-10,PO802615,U004,CC237,6061,False,none
INV00003977,934835642,Durand SAS,FR3839488488269131196425856,688.34,EUR,2025-07-16,2025-07-17,PO428555,U003,CC994,6063,False,none
INV00001543,254629148,Rey Boucher SARL SCI,FR8996931572791940961055661,2055.41,EUR,2025-06-06,2025-06-11,,U014,CC495,6181,False,none
INV00001773,010393087,Hebert S.A.R.L. EURL,FR5941241513152854781506185,2809.42,EUR,2025-03-21,2025-03-23,PO178830,U000,CC953,6065,False,none
INV00004019,368872588,Grenier SA EURL,FR5815372215566847323653377,1091.63,EUR,2025-06-13,2025-06-17,PO273112,U024,CC869,6068,False,none
INV00000179,369155942,Paul et Fils SCI,FR9212600308356691062715312,43.73,EUR,2025-03-06,2025-03-12,PO783740,U027,CC379,6135,False,none
INV00001745,479851583,Ruiz SA SASU,FR5425376576927789431910090,207.04,EUR,2024-02-15,2024-02-19,PO461426,U013,CC779,6063,False,none
